product_name,product_quantity,product_price,date_updated
Bagel - Whole White Sesame,97,430,2018-11-01
Sauce - Caesar Dressing,16,825,2019-04-10
Shiratamako - Rice Flour,71,799,2018-03-07
Tart - Raisin And Pecan,86,106,2019-01-18
Radish,22,247,2018-11-06
Juice - V8 Splash,44,220,2022-04-20
Red Currants,49,677,2018-10-01
Soup - Base Broth Beef,62,544,2019-03-09
Tomatoes Tear Drop Yellow,73,64,2019-02-09
Mussels - Cultivated,24,934,2018-07-31
"Bread - Crumbs, Bulk",88,449,2019-01-12
"Beans - Long, Chinese",47,473,2018-09-22
"Beans - Navy, Dry",44,459,2018-01-20
"Basil - Dry, Rubbed",21,869,2018-02-04
Apple - Granny Smith,72,505,2018-01-12
"Lid - High Heat, Super Clear",5,123,2018-02-09
Oranges - Navel,46,478,2018-06-06
Berry Brulee,40,900,2020-07-20
Lobster - Canned Premium,57,761,2018-04-15
Ham - Procutinni,8,570,2019-01-09
Veal - Ground,5,767,2018-12-19
Oil - Cooking Spray,6,420,2018-06-11
"Extract - Vanilla,artificial",20,291,2018-06-08
"Mushroom - Porcini, Dry",71,814,2018-07-26
Wine - Chateau Bonnet,54,741,2018-03-10
Dark Coffee,14,899,2023-11-15
